id,name,context_length,prompt_cost_per_M,completion_cost_per_M,reasoning_cost_per_M,has_reasoning,max_completion_tokens,is_moderated,input_modalities,output_modalities
openrouter/bodybuilder,Body Builder (beta),128000,-1000000.0,-1000000.0,0.0,False,,False,text,text
openrouter/auto,Auto Router,2000000,-1000000.0,-1000000.0,0.0,True,,False,text|image|audio|file|video,text|image
openrouter/free,Free Models Router,200000,0.0,0.0,0.0,True,,False,text|image,text
stepfun/step-3.5-flash:free,StepFun: Step 3.5 Flash (free),256000,0.0,0.0,0.0,True,256000,False,text,text
arcee-ai/trinity-large-preview:free,Arcee AI: Trinity Large Preview (free),131000,0.0,0.0,0.0,False,,False,text,text
liquid/lfm-2.5-1.2b-thinking:free,LiquidAI: LFM2.5-1.2B-Thinking (free),32768,0.0,0.0,0.0,True,,False,text,text
liquid/lfm-2.5-1.2b-instruct:free,LiquidAI: LFM2.5-1.2B-Instruct (free),32768,0.0,0.0,0.0,False,,False,text,text
nvidia/nemotron-3-nano-30b-a3b:free,NVIDIA: Nemotron 3 Nano 30B A3B (free),256000,0.0,0.0,0.0,True,,False,text,text
arcee-ai/trinity-mini:free,Arcee AI: Trinity Mini (free),131072,0.0,0.0,0.0,True,,False,text,text
nvidia/nemotron-nano-12b-v2-vl:free,NVIDIA: Nemotron Nano 12B 2 VL (free),128000,0.0,0.0,0.0,True,128000,False,image|text|video,text
qwen/qwen3-vl-30b-a3b-thinking,Qwen: Qwen3 VL 30B A3B Thinking,131072,0.0,0.0,0.0,True,32768,False,text|image,text
qwen/qwen3-vl-235b-a22b-thinking,Qwen: Qwen3 VL 235B A22B Thinking,131072,0.0,0.0,0.0,True,32768,False,text|image,text
qwen/qwen3-next-80b-a3b-instruct:free,Qwen: Qwen3 Next 80B A3B Instruct (free),262144,0.0,0.0,0.0,False,,False,text,text
nvidia/nemotron-nano-9b-v2:free,NVIDIA: Nemotron Nano 9B V2 (free),128000,0.0,0.0,0.0,True,,False,text,text
openai/gpt-oss-120b:free,OpenAI: gpt-oss-120b (free),131072,0.0,0.0,0.0,True,131072,True,text,text
openai/gpt-oss-20b:free,OpenAI: gpt-oss-20b (free),131072,0.0,0.0,0.0,True,131072,True,text,text
z-ai/glm-4.5-air:free,Z.ai: GLM 4.5 Air (free),131072,0.0,0.0,0.0,True,96000,False,text,text
qwen/qwen3-coder:free,Qwen: Qwen3 Coder 480B A35B (free),262000,0.0,0.0,0.0,False,262000,False,text,text
cognitivecomputations/dolphin-mistral-24b-venice-edition:free,Venice: Uncensored (free),32768,0.0,0.0,0.0,False,,False,text,text
google/gemma-3n-e2b-it:free,Google: Gemma 3n 2B (free),8192,0.0,0.0,0.0,False,2048,False,text,text
google/gemma-3n-e4b-it:free,Google: Gemma 3n 4B (free),8192,0.0,0.0,0.0,False,2048,False,text,text
qwen/qwen3-4b:free,Qwen: Qwen3 4B (free),40960,0.0,0.0,0.0,True,,False,text,text
mistralai/mistral-small-3.1-24b-instruct:free,Mistral: Mistral Small 3.1 24B (free),128000,0.0,0.0,0.0,False,,False,text|image,text
google/gemma-3-4b-it:free,Google: Gemma 3 4B (free),32768,0.0,0.0,0.0,False,8192,False,text|image,text
google/gemma-3-12b-it:free,Google: Gemma 3 12B (free),32768,0.0,0.0,0.0,False,8192,False,text|image,text
google/gemma-3-27b-it:free,Google: Gemma 3 27B (free),131072,0.0,0.0,0.0,False,8192,False,text|image,text
meta-llama/llama-3.3-70b-instruct:free,Meta: Llama 3.3 70B Instruct (free),128000,0.0,0.0,0.0,False,128000,True,text,text
meta-llama/llama-3.2-3b-instruct:free,Meta: Llama 3.2 3B Instruct (free),131072,0.0,0.0,0.0,False,,False,text,text
nousresearch/hermes-3-llama-3.1-405b:free,Nous: Hermes 3 405B Instruct (free),131072,0.0,0.0,0.0,False,,False,text,text
liquid/lfm2-8b-a1b,LiquidAI: LFM2-8B-A1B,32768,0.01,0.02,0.0,False,,False,text,text
liquid/lfm-2.2-6b,LiquidAI: LFM2-2.6B,32768,0.01,0.02,0.0,False,,False,text,text
ibm-granite/granite-4.0-h-micro,IBM: Granite 4.0 Micro,131000,0.017,0.11,0.0,False,,False,text,text
google/gemma-3n-e4b-it,Google: Gemma 3n 4B,32768,0.02,0.04,0.0,False,,False,text,text
meta-llama/llama-guard-3-8b,Llama Guard 3 8B,131072,0.02,0.06,0.0,False,,False,text,text
meta-llama/llama-3.1-8b-instruct,Meta: Llama 3.1 8B Instruct,16384,0.02,0.049999999999999996,0.0,False,16384,False,text,text
mistralai/mistral-nemo,Mistral: Mistral Nemo,131072,0.02,0.04,0.0,False,16384,False,text,text
meta-llama/llama-3.2-1b-instruct,Meta: Llama 3.2 1B Instruct,60000,0.027,0.19999999999999998,0.0,False,,False,text,text
liquid/lfm-2-24b-a2b,LiquidAI: LFM2-24B-A2B,32768,0.03,0.12,0.0,False,,False,text,text
openai/gpt-oss-20b,OpenAI: gpt-oss-20b,131072,0.03,0.14,0.0,True,,False,text,text
qwen/qwen2.5-coder-7b-instruct,Qwen: Qwen2.5 Coder 7B Instruct,32768,0.03,0.09,0.0,False,,False,text,text
google/gemma-2-9b-it,Google: Gemma 2 9B,8192,0.03,0.09,0.0,False,,False,text,text
meta-llama/llama-3-8b-instruct,Meta: Llama 3 8B Instruct,8192,0.03,0.04,0.0,False,16384,False,text,text
qwen/qwen-turbo,Qwen: Qwen-Turbo,131072,0.0325,0.13,0.0,False,8192,False,text,text
amazon/nova-micro-v1,Amazon: Nova Micro 1.0,128000,0.035,0.14,0.0,False,5120,True,text,text
cohere/command-r7b-12-2024,Cohere: Command R7B (12-2024),128000,0.0375,0.15,0.0,False,4000,True,text,text
openai/gpt-oss-120b,OpenAI: gpt-oss-120b,131072,0.039,0.19,0.0,True,,False,text,text
openai/gpt-oss-120b:exacto,OpenAI: gpt-oss-120b (exacto),131072,0.039,0.19,0.0,True,,False,text,text
nvidia/nemotron-nano-9b-v2,NVIDIA: Nemotron Nano 9B V2,131072,0.04,0.16,0.0,True,,False,text,text
google/gemma-3-4b-it,Google: Gemma 3 4B,131072,0.04,0.08,0.0,False,,False,text|image,text
google/gemma-3-12b-it,Google: Gemma 3 12B,131072,0.04,0.13,0.0,False,,False,text|image,text
